SPEC;UrunTipi;Kalinlik;Genislik;LevhaBoyu;Grade;MamulKodu;Yuzey;Kaplama;"HedefKaplama
g/m2";#NAME?;#NAME?;Alt Astar Klnlk;Alt Boya Klnlk;AltBoya;Üst Astar Klnlk;Üst Boya Klnlk;ÜstBoya;Backcoat Klnlk;CRF Kalinlik;Ticari
003062001;GCR;0,32;1000;2000;DX51D+Z;GCRCP;A;Z;100;0;0;0;0;;0;0;;0;0,32;
003064001;GCR;0,48;1000;2000;DX51D+Z;GCRCP;A;Z;80;0,05;0,05;0;0;;0;0;;0;0,48;
003066001;GCR;0,5;74;0;DX51D+Z;GCRSP;A;Z;100;0,05;0,05;0;0;;0;0;;0;0;
003067001;GCR;0,5;1000;1680;DX51D+Z;GCRCP;A;Z;100;0,05;0,05;0;0;;0;0;;0;0,5;
003073001;GCR;0,7;910;1905;DX51D+Z;GCRCP;A;Z;100;0;0;0;0;;0;0;;0;0,7;
003075001;GCR;0,7;1200;2400;DX51D+Z;GCRCP;A;Z;100;0,06;0,06;0;0;;0;0;;0;0,7;
003077001;GCR;0,8;750;3000;DX51D+Z;GCRCP;A;Z;100;0;0;0;0;;0;0;;0;0;
003079001;GCR;0,95;990;3000;DX51D+Z;GCRCP;A;Z;100;0;0;0;0;;0;0;;0;0,96;
003084001;GCR;1;1000;1000;DX51D+Z;GCRCP;A;Z;100;0,07;0,07;0;0;;0;0;;0;1,01;
003086001;GCR;1;1000;2000;DX51D+Z;GCRCP;A;Z;80;0,07;0,07;0;0;;0;0;;0;1,01;
003088001;GCR;1;1200;1800;DX51D+Z;GCRCP;A;Z;100;0;0;0;0;;0;0;;0;1,01;
003091001;GCR;1,15;1000;2000;DX51D+Z;GCRCP;A;Z;100;0;0;0;0;;0;0;;0;1,16;
003092001;GCR;1,2;60;0;DX51D+Z;GCRSP;A;Z;100;0,08;0,08;0;0;;0;0;;0;0;
003095001;GCR;1,2;1000;2000;DX51D+Z;GCRCP;A;Z;80;0,08;0,08;0;0;;0;0;;0;1,21;
003097001;GCR;1,2;1000;3000;DX51D+Z;GCRCP;A;Z;100;0,08;0,08;0;0;;0;0;;0;1,21;
003099001;GCR;1,3;1250;2500;DX51D+Z;GCRCP;A;Z;100;0,13;0,13;0;0;;0;0;;0;1,32;
003104001;GCR;1,4;1242;3000;DX51D+Z;GCRCP;A;Z;100;0;0;0;0;;0;0;;0;1,42;
003106001;GCR;1,5;1000;1430;DX51D+Z;GCRCP;A;Z;100;0;0;0;0;;0;0;;0;1,52;
003108001;GCR;1,5;1000;2000;DX51D+Z;GCRCP;A;Z;100;0,11;0,11;0;0;;0;0;;0;1,52;
003112001;GCR;1,5;1000;3000;DX51D+Z;GCRCP;A;Z;80;0,11;0,11;0;0;;0;0;;0;1,52;
003114001;GCR;2;1000;1780;DX51D+Z;GCRCP;A;Z;100;0,14;0,14;0;0;;0;0;;0;2,03;
004077001;GCR;1;60;0;DX51D+Z;GCRSP;A;Z;100;0,07;0,07;0;0;;0;0;;0;0;
004078001;GCR;1;126;0;DX51D+Z;GCRSP;A;Z;100;0,07;0,07;0;0;;0;0;;0;0;
004085001;GCR;0,5;1200;2400;DX51D+Z;GCRCP;A;Z;80;0,05;0,05;0;0;;0;0;;0;0,5;
004086001;GCR;0,6;1000;2000;DX51D+Z;GCRCP;A;Z;100;0,05;0,05;0;0;;0;0;;0;0,6;
004087001;GCR;1;1200;2400;DX51D+Z;GCRCP;A;Z;80;0,07;0,07;0;0;;0;0;;0;1,01;
004090001;GCR;1,5;1200;2400;DX51D+Z;GCRCP;A;Z;80;0,11;0,11;0;0;;0;0;;0;1,52;
004091001;GCR;0,35;1000;2000;DX51D+Z;GCRCP;A;Z;100;0,05;0,05;0;0;;0;0;;0;0,35;
004128001;GCR;0,6;1185;2500;DX51D+Z;GCRCP;A;Z;100;0;0;0;0;;0;0;;0;0,6;
004129001;GCR;0,7;1160;1800;DX51D+Z;GCRCP;A;Z;100;0;0;0;0;;0;0;;0;0,7;
004130001;GCR;0,7;1160;1900;DX51D+Z;GCRCP;A;Z;100;0,06;0,06;0;0;;0;0;;0;0,7;
004131001;GCR;0,7;1185;2500;DX51D+Z;GCRCP;A;Z;100;0,06;0,06;0;0;;0;0;;0;0,7;
004134001;GCR;1;1000;3000;DX51D+Z;GCRCP;A;Z;80;0,07;0,07;0;0;;0;0;;0;1,01;
004135001;GCR;1;1000;2250;DX51D+Z;GCRCP;A;Z;100;0,07;0,07;0;0;;0;0;;0;1,01;
004141001;GCR;0,4;1000;2180;DX51D+Z;GCRCP;A;Z;100;0;0;0;0;;0;0;;0;0,4;
004142001;GCR;0,35;1000;2180;DX51D+Z;GCRCP;A;Z;100;0;0;0;0;;0;0;;0;0,35;
004143001;GCR;0,6;1200;2400;DX51D+Z;GCRCP;A;Z;100;0,05;0,05;0;0;;0;0;;0;0,6;
004150001;GCR;0,85;1500;3000;DX51D+Z;GCRCP;A;Z;100;0;0;0;0;;0;0;;0;0,86;
004151001;GCR;0,5;1200;2320;DX51D+Z;GCRCP;A;Z;100;0;0;0;0;;0;0;;0;0,5;
004160001;GCR;1;63;0;DX51D+Z;GCRSP;A;Z;100;0,07;0,07;0;0;;0;0;;0;0;
004161001;GCR;1;1200;3000;DX51D+Z;GCRCP;B;Z;100;0,07;0,07;0;0;;0;0;;0;1,01;
004162001;GCR;1;1200;2250;DX51D+Z;GCRCP;A;Z;100;0,07;0,07;0;0;;0;0;;0;1,01;
004173001;GCR;1,5;1000;1450;DX51D+Z;GCRCP;A;Z;100;0,11;0,11;0;0;;0;0;;0;1,52;
004176001;GCR;1;62;0;DX51D+Z;GCRSP;A;Z;100;0,07;0,07;0;0;;0;0;;0;0;
004177001;GCR;1;78;0;DX51D+Z;GCRSP;A;Z;100;0,07;0,07;0;0;;0;0;;0;0;
004196001;GCR;0,8;1000;3000;DX51D+Z;GCRCP;A;Z;100;0,06;0,06;0;0;;0;0;;0;0,8;
004218001;GCR;0,4;1000;4000;DX51D+Z;GCRCP;A;Z;100;0;0;0;0;;0;0;;0;0,4;
004219001;GCR;0,45;1000;4000;DX51D+Z;GCRCP;A;Z;100;0;0;0;0;;0;0;;0;0,45;
004225001;GCR;0,45;1000;2180;DX51D+Z;GCRCP;A;Z;100;0;0;0;0;;0;0;;0;0,45;
004249001;GCR;0,6;137;0;DX51D+Z;GCRSP;A;Z;100;0,05;0,05;0;0;;0;0;;0;0;
004252001;GCR;0,5;1200;2100;DX51D+Z;GCRCP;A;Z;100;0,05;0,05;0;0;;0;0;;0;0,5;
004253001;GCR;0,5;1200;2200;DX51D+Z;GCRCP;A;Z;100;0;0;0;0;;0;0;;0;0,5;
004254001;GCR;0,9;1000;3000;DX51D+Z;GCRCP;A;Z;100;0,07;0,07;0;0;;0;0;;0;0,91;
004270001;GCR;0,45;123;0;DX51D+Z;GCRSP;A;Z;100;0,05;0,05;0;0;;0;0;;0;0;
004271001;GCR;0,45;75;0;DX51D+Z;GCRSP;A;Z;100;0,05;0,05;0;0;;0;0;;0;0;
004277001;GCR;0,35;1000;2220;DX51D+Z;GCRCP;A;Z;100;0;0;0;0;;0;0;;0;0,35;
004322001;GCR;1,5;80;0;DX51D+Z;GCRSP;A;Z;100;0,11;0,11;0;0;;0;0;;0;0;
004342001;GCR;0,4;1000;2220;DX51D+Z;GCRCP;A;Z;100;0;0;0;0;;0;0;;0;0,4;
004358001;GCR;1,2;1000;4000;DX51D+Z;GCRCP;A;Z;100;0,08;0,08;0;0;;0;0;;0;1,21;
004380001;GCR;1;64;0;DX51D+Z;GCRSP;A;Z;100;0,07;0,07;0;0;;0;0;;0;0;
004381001;GCR;1;70;0;DX51D+Z;GCRSP;A;Z;100;0,07;0,07;0;0;;0;0;;0;0;
004382001;GCR;1;74;0;DX51D+Z;GCRSP;A;Z;100;0,07;0,07;0;0;;0;0;;0;0;
004383001;GCR;1;80;0;DX51D+Z;GCRSP;A;Z;100;0,07;0,07;0;0;;0;0;;0;0;
004384001;GCR;1;84;0;DX51D+Z;GCRSP;A;Z;100;0,07;0,07;0;0;;0;0;;0;0;
004386001;GCR;0,9;1000;2000;DX51D+Z;GCRCP;A;Z;80;0,07;0,07;0;0;;0;0;;0;0,91;
004387001;GCR;1;105;0;DX51D+Z;GCRSP;A;Z;100;0,07;0,07;0;0;;0;0;;0;0;
004390001;GCR;1;75;0;DX51D+Z;GCRSP;A;Z;100;0,07;0,07;0;0;;0;0;;0;0;
004396001;GCR;0,45;74;0;DX51D+Z;GCRSP;A;Z;100;0,05;0,05;0;0;;0;0;;0;0;
004399001;GCR;0,5;1250;2500;DX51D+Z;GCRCP;A;Z;100;0,06;0,06;0;0;;0;0;;0;0,5;
