Satýþ belgesi;Kalem;Üretim yeri;Müþteri malzeme numarasý;Satýþ belgesi türü;Malzeme;Malzeme Tan.;Plan Hammaddesi;PlnHmdde Gnþlk;Sipariþ Mik. (TON);Sevk Edilen Mik.(TON);Açýk Mik.(TON);Thdtsz Mml;Yaratma tarihi;Teslimat tarihi;PLN:TrmTrh;Öncelik Tanýmý;31 HR;31 PHR;31 CRF;31 GCR;31 GHR;31 PPG;41 HR;41 PHR;41 CRF;41 GCR;41 GHR;41 PPG;Ticari kalite;Sektör Tan.;Baz Fiyat;Nihai Fiyat;Sipariþi Veren;Müþteri grubu 2;Max Tnj;Min Tnj
15065359;50;4100;032440001;Z410;PPGP;PPG-9002/SP DX51D+Z70B 0,30x1.200;X;0;25;18,185;0;0;4.01.2018;4.01.2018;5.01.2018;Normal öncellikli sipariþ kalemi;0;0;0;0;0;0;0;0;0;0;0;0;;ÇATI-CEPHE;860;1100;1121435;;6000;4000
15067936;110;3100;042782001;Z410;GHRP;GHR DX51D+Z90A 1,90x1.250 revize;X;0;150;150,44;0;0;10.01.2018;10.01.2018;1.02.2018;Normal öncellikli sipariþ kalemi;0;0;0;0;0;0;0;0;0;0;0;0;;SERA ÝMALAT;730;620;1122187;;15000;9000
15068011;170;4100;021091001;Z410;GHRCP;GHR DX51D+Z100A 3,00x1.500x3.000;;0;30;25,345;0;0;2.01.2018;6.01.2018;31.01.2018;Normal öncellikli sipariþ kalemi;0;0;0;0;0;0;0;0;0;0;0;0;;ÇSM-TÜCCAR;730;610;1122044;;2500;1500
15068011;180;4100;008751001;Z410;GHRCP;GHR DX51D+Z100A 3,00x1.250x2.500;;0;30;23,225;0;0;2.01.2018;6.01.2018;31.01.2018;Normal öncellikli sipariþ kalemi;0;0;0;0;0;0;0;0;0;0;0;0;;ÇSM-TÜCCAR;730;610;1122044;;2500;1500
15068023;20;3100;045850001;Z410;PPGP;PPG-3009/SP DX51D+Z70B 0,65x1.220-revize;X;0;40;40,65;0;0;19.01.2018;1.02.2018;19.01.2018;Normal öncellikli sipariþ kalemi;0;0;0;0;0;0;0;0;0;0;0;0;;ÇATI-CEPHE;840;788;1121215;;0;0
15068382;20;4100;042222001;Z410;GHRCP;GHR DX51D+Z100B 2,50x1.000x2.000;X;0;20;22,775;0;0;19.01.2018;27.01.2018;1.03.2018;Normal öncellikli sipariþ kalemi;0;0;0;0;0;0;0;0;0;0;0;0;;ISITMA-SOÐUTMA;765;735;1122805;;1900;1000
15068612;40;4100;032105001;Z410;PPGSP;PPG-9002/SP DX51D+Z70B 0,48x1.200;PPG;1200;25;20,54;0;0;4.01.2018;26.01.2018;5.01.2018;Normal öncellikli sipariþ kalemi;0;0;0;0;0;0;0;0;0;0;0;0;;ÇATI-CEPHE;860;855;1121435;;5000;3000
15069025;10;3100;033280001;Z410;PPGP;PPG-9002DX51D+Z100B 0,50x1.170-kauçuk;X;0;60;63,37;0;0;2.01.2018;20.02.2018;31.01.2018;Normal öncellikli sipariþ kalemi;0;0;0;0;0;0;0;0;0;0;0;0;;ÇATI-CEPHE;870;905;1121352;;5500;4000
15069025;20;3100;033280001;Z410;PPGP;PPG-9002DX51D+Z100B 0,50x1.170-kauçuk;X;0;31;41,88;0;0;2.01.2018;20.02.2018;31.01.2018;Normal öncellikli sipariþ kalemi;0;0;0;0;0;0;0;0;0;0;0;0;;ÇATI-CEPHE;870;905;1121352;;5500;4000
15069025;30;3100;033280001;Z410;PPGP;PPG-9002DX51D+Z100B 0,50x1.170(+tol);X;0;40;41,26;0;0;2.01.2018;20.02.2018;31.01.2018;Normal öncellikli sipariþ kalemi;0;0;0;0;0;0;0;0;0;0;0;0;;ÇATI-CEPHE;870;905;1121352;;10000;7000
15069025;40;3100;016628001;Z410;PPGP;PPG-9002/SP DX51D+Z100B 0,50x1.200(+tol);X;0;55;61,43;0;0;2.01.2018;20.02.2018;31.01.2018;Normal öncellikli sipariþ kalemi;0;0;0;0;0;0;0;0;0;0;0;0;;ÇATI-CEPHE;870;905;1121352;;5500;4000
15069026;10;3100;025696001;Z410;HRCP;HR S235JR 2,00x1.500x3.000 buffer;HR;0;4,945;4,945;0;0;2.01.2018;2.01.2018;;Normal öncellikli sipariþ kalemi;0;0;0;0;0;0;0;0;0;0;0;0;;ÇSM-TÜCCAR;600;607,15;1021057;;0;0
15069027;10;3100;019407001;Z410;GCRCP;GCR DX51D+Z70A 2,00x1.500x3.000 buffer;GCR;0;4,136;2,585;0;0;2.01.2018;2.01.2018;31.01.2018;Normal öncellikli sipariþ kalemi;0;0;0;0;0;0;0;0;0;0;0;0;;ÇSM-TÜCCAR;800;735;1121057;;0;0
15069027;20;3100;019407001;Z410;GCRCP;GCR DX51D+Z70A 2,00x1.500x3.000 buffer;GCR;0;4,136;2,585;0;0;2.01.2018;2.01.2018;31.01.2018;Normal öncellikli sipariþ kalemi;0;0;0;0;0;0;0;0;0;0;0;0;;ÇSM-TÜCCAR;800;735;1121057;;0;0
15069028;10;3100;035399001;Z410;GCRP;GCR DX51D+Z70A 2,00x1.200 buffer;GCR;0;40;39,6;0;0;2.01.2018;2.01.2018;31.01.2018;Normal öncellikli sipariþ kalemi;0;0;0;0;0;0;0;0;0;0;0;0;;SERA ÝMALAT;800;690;1122187;;0;0
15069030;10;3100;044967001;Z410;GCRCP;GCR DX51D+Z70A 1,20x1.250x2.005;X;0;24;24,335;0;0;2.01.2018;16.01.2018;31.01.2018;Normal öncellikli sipariþ kalemi;0;0;0;0;0;0;0;0;0;0;0;0;;ÇSM-TÜCCAR;800;730;1122137;;0;0
15069030;20;3100;044966001;Z410;GCRCP;GCR DX51D+Z70A 1,20x1.200x1.805;GCR;0;4,1;4,08;0;0;2.01.2018;16.01.2018;31.01.2018;Normal öncellikli sipariþ kalemi;0;0;0;0;0;0;0;0;0;0;0;0;;ÇSM-TÜCCAR;800;730;1122137;;0;0
15069030;30;3100;023087001;Z410;GCRCP;GCR DX51D+Z70A 1,20x1.200x2.300;GCR;0;16;15,64;0;0;2.01.2018;16.01.2018;31.01.2018;Normal öncellikli sipariþ kalemi;0;0;0;0;0;0;0;0;0;0;0;0;;ÇSM-TÜCCAR;800;730;1122137;;0;0
15069031;10;4100;007307001;Z410;GCRSP;GCR DX51D+Z100A 0,50x1.200;GCR;1200;117,34;120,53;0;0;2.01.2018;31.01.2018;31.01.2018;Normal öncellikli sipariþ kalemi;0;0;0;0;0;0;0;0;0;0;0;0;;ISITMA-SOÐUTMA;800;810;1122589;;2500;1500
15069032;10;3100;030343001;Z410;PPGP;PPG-9002/SP DX51D+Z70B 0,50x1.000;PPG;0;6,44;0;0;0;2.01.2018;2.01.2018;2.01.2018;Normal öncellikli sipariþ kalemi;0;0;0;0;0;0;0;0;0;0;0;0;;ÇSM-TÜCCAR;870;850;1122856;;0;0
